,الفئة,النوع,السعر,الكمية
0,  اسكرين , ULTRA,150,51
1,  اسكرين ,HD,35,417
2,  اسكرين ,زجاج,25,113
3,  اسكرين ,سيراميك 5D,30,281
4,  اسكرين ,غزالة  - OOHI - نينجا,45,313
5,  اسكرين ,نحلة - ,60,101
6, شاحن IPHONE ,X,70,3
7,AUX ,JROOM,70,2
8,AUX ,oraimo,30,8
9,MIC,K9,120,1
10,SOUND AD,X,30,3
11,airpods,deepBoss,400,1
12,airpods,pro,400,1
13,airpods,start,500,5
14,headphone,sodo,400,2
15,otg,micro,30,20
16,otg,type c ,20,5
17,otg steel,type c ,40,3
18,power supply,hivision,70,4
19,type c * type c ,oraimo,150,6
20,ارضي,اظهار,550,2
21,ارضي,كف بشاشة,450,3
22,اسبليتر,X,50,1
23,اسكرين,uv,100,21
24,اسكرين تاب ,x,150,14
25,اسكن ضهر,X,30,29
26,ببجي,x,15,41
27,بطارية ,سامسونج,100,7
28,بطارية ,نوكيا ,70,1
29,بطارية ,نوكيا 5J,80,2
30,بور بنك,x,500,3
31,تحويلة شاحن,X,25,17
32,جاك ,x,25,18
33,جراب,40,40,153
34,جراب,50,50,75
35,جراب,60,60,34
36,جراب ايربودز اسكتش,X,85,3
37,جراب بحر,X,50,5
38,حامل,X,50,2
39,حجر ,LOD صغير,10,110
40,حجر ,LOD كبير,10,27
41,حجر ,VEKO صغير,20,18
42,حجر ,VEKO كبير,20,15
43,خالد,الدسوقي,10,19
44,خالد,الدسوقي,20,20
45,خالد,الدسوقي,30,20
46,خالد,الدسوقي,40,20
47,راديو,GOLON,300,1
48,راس شاحن type c,snmsung,150,2
49,راس شاحن type c,xscoots ch 240,150,5
50,ريدر,X,20,27
51,ريموت,x,25,162
52,ساعة,x8+ ultra,700,1
53,ساعة,zt002,400,1
54,سماعه,IPHONE,180,1
55,سماعه,TYPE C SNMSUNG,180,2
56,سماعه,conx,60,80
57,سماعه,hm 01,120,2
58,سماعه,hm 555,80,35
59,سماعه,mx 507,50,35
60,سماعه,stereo ,60,27
61,شاحن TYPEC TYPEC ,X,200,9
62,شاحن iphone,oraimo,250,5
63,شاحن iphone,xscoots ch 233,120,10
64,شاحن micro,dolphin,70,3
65,شاحن micro,sallam,200,20
66,شاحن micro,xscoots ch 236,100,20
67,شاحن micro,xscoots ch 246,100,57
68,شاحن micro,xscoots ch 256,160,4
69,شاحن oppo ,x,100,1
70,شاحن type c,conx  ic03,120,17
71,شاحن type c,hm 515,150,37
72,شاحن type c,sallam,220,48
73,شاحن type c,xscoots ch 233,120,20
74,شاحن type c,xscoots ch 253,100,2
75,شاحن ابره,X,60,8
76,صب,org,300,2
77,صب,portable,150,2
78,صيانة,10,10,300
79,صيانة,100,100,300
80,صيانة,120,120,300
81,صيانة,150,150,300
82,صيانة,20,20,300
83,صيانة,30,30,300
84,صيانة,40,40,300
85,صيانة,50,50,299
86,صيانة,60,60,300
87,صيانة,70,70,300
88,صيانة,80,80,300
89,صيانة,90,90,300
90,كفر نوكيا,x,30,19
91,كمونه,5,5,185
92,وصلة iphone,hb28,40,53
93,وصلة iphone,lovesn,70,18
94,وصلة iphone,uam,100,43
95,وصلة iphone,xscoots cl138,80,50
96,وصلة micro,conx  ic06,50,71
97,وصلة micro,dadu,60,50
98,وصلة micro,dolphin,25,111
99,وصلة micro,lecun,70,26
100,وصلة micro,oraimo m 53,70,50
101,وصلة micro,xscoots cl138,60,35
102,وصلة type c,conx  ic06,60,32
103,وصلة type c,scorpion,30,67
104,وصلة type c,xscoots cl138 - uam,80,107
105,وصلة ارضي ,سوسته,20,7
106,وصلة بور لاب,X,40,2
107,وصلة حرارة,طويلة,20,5
108,وصلة حرارة,قصير,15,9
109,وصلة راديو,X,25,3
